Problem, Fortran result, Python result, Error, Fortran cstrv, Python cstrv, Error, Fortran nfev, Python nfev, Fresult.status
HS18       , 4.99999999956311       , 4.99999999956311       , 0.00    , 3.4653027114472934e-09 , 3.4653027114472934e-09 , 0.00    , 65   , 65   , 0
HS19       , -6961.813875580135     , -6961.813875580135     , -0.00   , 0.0                    , 0.0                    , 0.00    , 38   , 38   , 0
HS2        , 4.941229318024095      , 4.941229318024095      , 0.00    , 0.0                    , 0.0                    , 0.00    , 42   , 42   , 0
HS20       , 40.19872981077604      , 40.19872981077604      , 0.00    , 2.853273173286652e-14  , 2.853273173286652e-14  , 0.00    , 15   , 15   , 0
HS21       , -99.96                 , -99.96                 , -0.00   , 0.0                    , 0.0                    , 0.00    , 34   , 34   , 0
HS21MOD    , -95.96                 , -95.96                 , -0.00   , 0.0                    , 0.0                    , 0.00    , 81   , 81   , 0
HS22       , 1.0000000000000036     , 1.0000000000000036     , 0.00    , 4.440892098500626e-16  , 4.440892098500626e-16  , 0.00    , 19   , 19   , 0
HS23       , 2.0000000017670727     , 2.0000000017670727     , 0.00    , 0.0                    , 0.0                    , 0.00    , 22   , 22   , 0
HS24       , -1.0000000826919648    , -1.0000000826919648    , -0.00   , 0.0                    , 0.0                    , 0.00    , 10   , 10   , 0
HS25       , 1.3629384448866604     , 1.3629384448866604     , 0.00    , 0.0                    , 0.0                    , 0.00    , 1500 , 1500 , 3
HS26       , 2.0117861896751436e-08 , 2.0117861896751436e-08 , 0.00    , 2.6467050773248957e-11 , 2.6467050773248957e-11 , 0.00    , 1500 , 1500 , 3
HS268      , 2.2139807428320637     , 2.2139807428320637     , 0.00    , 0.0                    , 0.0                    , 0.00    , 2500 , 2500 , 3
HS27       , 0.039999999999920544   , 0.039999999999920544   , 0.00    , 4.23221484457637e-11   , 4.23221484457637e-11   , 0.00    , 805  , 805  , 0
HS28       , 1.0401675481935155e-14 , 1.0401675481935155e-14 , 0.00    , 0.0                    , 0.0                    , 0.00    , 96   , 96   , 0
HS29       , -22.62741700345932     , -22.62741700345932     , -0.00   , 9.463470007631258e-09  , 9.463470007631258e-09  , 0.00    , 100  , 100  , 0
HS3        , 3.4052170504073325e-13 , 3.4052170504073325e-13 , 0.00    , 0.0                    , 0.0                    , 0.00    , 27   , 27   , 0
HS30       , 1.000000000002668      , 1.000000000002668      , 0.00    , 0.0                    , 0.0                    , 0.00    , 77   , 77   , 0
HS31       , 5.999999982263959      , 5.999999982263959      , 0.00    , 4.570218981037044e-09  , 4.570218981037044e-09  , 0.00    , 86   , 86   , 0
HS32       , 1.0                    , 1.0                    , 0.00    , 9.840662800703482e-21  , 9.840662800703482e-21  , 0.00    , 20   , 20   , 0
HS33       , -4.585786437626904     , -4.585786437626904     , -0.00   , 0.0                    , 0.0                    , 0.00    , 32   , 32   , 0
HS34       , -0.8340324452479582    , -0.8340324452479582    , -0.00   , 5.329070518200751e-15  , 5.329070518200751e-15  , 0.00    , 28   , 28   , 0
HS35       , 0.111111111111722      , 0.111111111111722      , 0.00    , 0.0                    , 0.0                    , 0.00    , 86   , 86   , 0
HS35I      , 0.111111111111722      , 0.111111111111722      , 0.00    , 0.0                    , 0.0                    , 0.00    , 86   , 86   , 0
HS35MOD    , 0.25                   , 0.25                   , 0.00    , 0.0                    , 0.0                    , 0.00    , 34   , 34   , 0
HS36       , -3299.999999999999     , -3299.999999999999     , -0.00   , 0.0                    , 0.0                    , 0.00    , 20   , 20   , 0
HS37       , -3456.000000000001     , -3456.000000000001     , -0.00   , 0.0                    , 0.0                    , 0.00    , 90   , 90   , 0
HS38       , 7.637443873107534      , 7.637443873107534      , 0.00    , 0.0                    , 0.0                    , 0.00    , 2000 , 2000 , 3
HS39       , -1.000000005686783     , -1.000000005686783     , -0.00   , 5.6577898813565485e-09 , 5.6577898813565485e-09 , 0.00    , 146  , 146  , 0
HS3MOD     , 4.089468459443429e-14  , 4.089468459443429e-14  , 0.00    , 0.0                    , 0.0                    , 0.00    , 77   , 77   , 0
HS4        , 2.666666664            , 2.666666664            , 0.00    , 0.0                    , 0.0                    , 0.00    , 10   , 10   , 0
HS40       , -0.25000000154939434   , -0.25000000154939434   , -0.00   , 7.597619033905545e-09  , 7.597619033905545e-09  , 0.00    , 82   , 82   , 0
HS41       , 1.9259259259259345     , 1.9259259259259345     , 0.00    , 2.220446049250313e-16  , 2.220446049250313e-16  , 0.00    , 81   , 81   , 0
HS42       , 13.8578643700655       , 13.8578643700655       , 0.00    , 5.725128371381061e-09  , 5.725128371381061e-09  , 0.00    , 110  , 110  , 0
HS43       , -44.000000011807266    , -44.000000011807266    , -0.00   , 4.0251952881931174e-09 , 4.0251952881931174e-09 , 0.00    , 109  , 109  , 0
HS44       , -15.0                  , -15.0                  , -0.00   , 1.5766590820375744e-17 , 1.5766590820375744e-17 , 0.00    , 23   , 23   , 0
HS44NEW    , -15.0                  , -15.0                  , -0.00   , 0.0                    , 0.0                    , 0.00    , 19   , 19   , 0
HS45       , 1.0000000004           , 1.0000000004           , 0.00    , 0.0                    , 0.0                    , 0.00    , 26   , 26   , 0
HS46       , 9.110617542747234e-07  , 9.110617542747234e-07  , 0.00    , 1.3620372607547893e-09 , 1.3620372607547893e-09 , 0.00    , 2500 , 2500 , 3
HS47       , 1.30080076710692e-09   , 1.30080076710692e-09   , 0.00    , 2.039590718538875e-12  , 2.039590718538875e-12  , 0.00    , 1359 , 1359 , 0
HS48       , 2.4076629560869293e-12 , 2.4076629560869293e-12 , 0.00    , 8.881784197001252e-16  , 8.881784197001252e-16  , 0.00    , 126  , 126  , 0
HS49       , 5.2915272548080974e-06 , 5.2915272548080974e-06 , 0.00    , 0.0                    , 0.0                    , 0.00    , 2500 , 2500 , 3
HS5        , -1.9132229549805313    , -1.9132229549805313    , -0.00   , 0.0                    , 0.0                    , 0.00    , 57   , 57   , 0
HS50       , 4.919755075054164e-13  , 4.919755075054164e-13  , 0.00    , 8.881784197001252e-16  , 8.881784197001252e-16  , 0.00    , 154  , 154  , 0
HS51       , 2.6082197118214614e-13 , 2.6082197118214614e-13 , 0.00    , 2.220446049250313e-16  , 2.220446049250313e-16  , 0.00    , 96   , 96   , 0
HS52       , 5.326647564545302      , 5.326647564545302      , 0.00    , 2.7755575615628914e-17 , 2.7755575615628914e-17 , 0.00    , 172  , 172  , 0
HS53       , 4.09302325581405       , 4.09302325581405       , 0.00    , 1.1102230246251565e-16 , 1.1102230246251565e-16 , 0.00    , 90   , 90   , 0
HS54       , -0.1539790077340626    , -0.1539790077340626    , -0.00   , 0.0                    , 0.0                    , 0.00    , 82   , 82   , 0
HS55       , 6.666666666666667      , 6.666666666666667      , 0.00    , 8.881784197001252e-16  , 8.881784197001252e-16  , 0.00    , 26   , 26   , 0
HS56       , -3.4560000011102447    , -3.4560000011102447    , -0.00   , 6.83309142601729e-09   , 6.83309142601729e-09   , 0.00    , 544  , 544  , 0
HS57       , 0.030646319844124605   , 0.030646319844124605   , 0.00    , 0.0                    , 0.0                    , 0.00    , 41   , 41   , 0
HS59       , -7.802789403937213     , -7.802789403937213     , -0.00   , 3.681179805425927e-09  , 3.681179805425927e-09  , 0.00    , 67   , 67   , 0
HS6        , 6.719569297825384e-15  , 6.719569297825384e-15  , 0.00    , 1.5020207300153743e-10 , 1.5020207300153743e-10 , 0.00    , 51   , 51   , 0
HS60       , 0.03256820028601623    , 0.03256820028601623    , 0.00    , 1.5341061754270413e-12 , 1.5341061754270413e-12 , 0.00    , 78   , 78   , 0
HS61       , -81.91909609513321     , -81.91909609513321     , -0.00   , 6.610445524302122e-10  , 6.610445524302122e-10  , 0.00    , 81   , 81   , 0
HS62       , -26272.5146470247      , -26272.5146470247      , -0.00   , 0.0                    , 0.0                    , 0.00    , 362  , 362  , 0
HS63       , 961.7151721281875      , 961.7151721281875      , 0.00    , 1.8749766184100736e-09 , 1.8749766184100736e-09 , 0.00    , 87   , 87   , 0
HS64       , 6299.842412880226      , 6299.842412880226      , 0.00    , 6.59982296591366e-09   , 6.59982296591366e-09   , 0.00    , 169  , 169  , 0
HS65       , 0.953528855367757      , 0.953528855367757      , 0.00    , 1.466633747781998e-08  , 1.466633747781998e-08  , 0.00    , 102  , 102  , 0
HS66       , 0.5181632727830466     , 0.5181632727830466     , 0.00    , 4.566252709281571e-09  , 4.566252709281571e-09  , 0.00    , 70   , 70   , 0
HS68       , -0.9204101858789134    , -0.9204101858789134    , -0.00   , 3.6950720261330616e-10 , 3.6950720261330616e-10 , 0.00    , 2000 , 2000 , 3
HS7        , -1.7320508076737495    , -1.7320508076737495    , -0.00   , 3.99998256739309e-10   , 3.99998256739309e-10   , 0.00    , 71   , 71   , 0
HS70       , 0.2690861852486161     , 0.2690861852486161     , 0.00    , 8.015053065690836e-10  , 8.015053065690836e-10  , 0.00    , 71   , 71   , 0
HS71       , 17.01401728817721      , 17.01401728817721      , 0.00    , 1.8750361263641935e-09 , 1.8750361263641935e-09 , 0.00    , 120  , 120  , 0
HS72       , 727.6791802684454      , 727.6791802684454      , 0.00    , 9.59813380770752e-09   , 9.59813380770752e-09   , 0.00    , 327  , 327  , 0
HS73       , 29.89437816317189      , 29.89437816317189      , 0.00    , 4.9072215607930255e-22 , 4.9072215607930255e-22 , 0.00    , 22   , 22   , 0
HS74       , 5126.498109897566      , 5126.498109897566      , 0.00    , 1.1290406831676592e-08 , 1.1290406831676592e-08 , 0.00    , 159  , 159  , 0
HS75       , 5174.412695641726      , 5174.412695641726      , 0.00    , 4.3787196091216174e-13 , 4.3787196091216174e-13 , 0.00    , 88   , 88   , 0
HS76       , -4.681818181817892     , -4.681818181817892     , -0.00   , 5.421010862427522e-23  , 5.421010862427522e-23  , 0.00    , 88   , 88   , 0
HS76I      , -4.681818181817892     , -4.681818181817892     , -0.00   , 5.421010862427522e-23  , 5.421010862427522e-23  , 0.00    , 88   , 88   , 0
HS77       , 0.2415051283087972     , 0.2415051283087972     , 0.00    , 1.4992451724538114e-12 , 1.4992451724538114e-12 , 0.00    , 214  , 214  , 0
HS78       , -2.9197004090473686    , -2.9197004090473686    , -0.00   , 1.240879621278168e-10  , 1.240879621278168e-10  , 0.00    , 124  , 124  , 0
HS79       , 0.07877682098728211    , 0.07877682098728211    , 0.00    , 4.3720582709738665e-13 , 4.3720582709738665e-13 , 0.00    , 104  , 104  , 0
HS8        , -1.0                   , -1.0                   , -0.00   , 1.1235457009206584e-13 , 1.1235457009206584e-13 , 0.00    , 15   , 15   , 0
HS80       , 0.053949847761852854   , 0.053949847761852854   , 0.00    , 7.238273314058574e-10  , 7.238273314058574e-10  , 0.00    , 134  , 134  , 0
HS83       , -30665.538671783306    , -30665.538671783306    , -0.00   , 0.0                    , 0.0                    , 0.00    , 36   , 36   , 0
HS84       , -5280335.079198179     , -5280335.079198179     , -0.00   , 1.1641532182693481e-10 , 1.1641532182693481e-10 , 0.00    , 32   , 32   , 0
HS85       , -2.215604688476282     , -2.215604688476282     , -0.00   , 5.684341886080802e-14  , 5.684341886080802e-14  , 0.00    , 45   , 45   , 0
HS86       , -32.34867896572227     , -32.34867896572227     , -0.00   , 0.0                    , 0.0                    , 0.00    , 81   , 81   , 0
HS87       , 8996.881026604726      , 8996.881026604726      , 0.00    , 1.2964257261881096e-12 , 1.2964257261881096e-12 , 0.00    , 200  , 200  , 0
HS88       , 1.3626502251796233     , 1.3626502251796233     , 0.00    , 8.822988650106028e-09  , 8.822988650106028e-09  , 0.00    , 151  , 151  , 0
HS89       , 1.3626451537619035     , 1.3626451537619035     , 0.00    , 1.104449660084539e-08  , 1.104449660084539e-08  , 0.00    , 281  , 281  , 0
HS9        , -0.4999999999999995    , -0.4999999999999995    , -0.00   , 1.7763568394002505e-15 , 1.7763568394002505e-15 , 0.00    , 42   , 42   , 0
HS90       , 1.362648281096731      , 1.362648281096731      , 0.00    , 8.815662938183098e-09  , 8.815662938183098e-09  , 0.00    , 1685 , 1685 , 0
HS91       , 1.3626641188199062     , 1.3626641188199062     , 0.00    , 8.822004249543118e-09  , 8.822004249543118e-09  , 0.00    , 2500 , 2500 , 3
HS92       , 1.362641880130116      , 1.362641880130116      , 0.00    , 1.490098172015643e-08  , 1.490098172015643e-08  , 0.00    , 2474 , 2474 , 0
HS93       , 135.07596925568015     , 135.07596925568015     , 0.00    , 1.0736364646074526e-09 , 1.0736364646074526e-09 , 0.00    , 3000 , 3000 , 3
HS95       , 0.015619525242393854   , 0.015619525242393854   , 0.00    , 0.0                    , 0.0                    , 0.00    , 27   , 27   , 0
HS96       , 0.015619525242393854   , 0.015619525242393854   , 0.00    , 0.0                    , 0.0                    , 0.00    , 27   , 27   , 0
HS97       , 4.071246356513221      , 4.071246356513221      , 0.00    , 2.6962671608384e-15    , 2.6962671608384e-15    , 0.00    , 90   , 90   , 0
HS98       , 4.071246356513221      , 4.071246356513221      , 0.00    , 2.7056267184999924e-15 , 2.7056267184999924e-15 , 0.00    , 47   , 47   , 0
HS99       , -831079891.3531996     , -831079891.3531996     , -0.00   , 4.656612873077393e-10  , 4.656612873077393e-10  , 0.00    , 836  , 836  , 0
HUBFIT     , 0.016893493939398714   , 0.016893493939398714   , 0.00    , 0.0                    , 0.0                    , 0.00    , 42   , 42   , 0
HUMPS      , 0.271692660681852      , 0.271692660681852      , 0.00    , 0.0                    , 0.0                    , 0.00    , 1000 , 1000 , 3
HYPCIR     , 0.0                    , 0.0                    , 0.00    , 6.257883100602157e-11  , 6.257883100602157e-11  , 0.00    , 14   , 14   , 0
INTEQNE    , 0.0                    , 0.0                    , 0.00    , 1.1899801123065486e-16 , 1.1899801123065486e-16 , 0.00    , 63   , 63   , 0
JENSMP     , 245.5097053022826      , 245.5097053022826      , 0.00    , 0.0                    , 0.0                    , 0.00    , 1000 , 1000 , 3
JENSMPNE   , 0.0                    , 0.0                    , 0.00    , 4.693376137742932      , 4.693376137742932      , 0.00    , 59   , 59   , 0
KIRBY2     , 0.0                    , 0.0                    , 0.00    , 0.3247954040282792     , 0.3247954040282792     , 0.00    , 431  , 431  , 0
KIRBY2LS   , 1067.9706707179575     , 1067.9706707179575     , 0.00    , 0.0                    , 0.0                    , 0.00    , 45   , 45   , 0
KIWCRESC   , -9.240327366129015e-10 , -9.240327366129015e-10 , -0.00   , 1.8749840569043386e-09 , 1.8749840569043386e-09 , 0.00    , 78   , 78   , 0
KOEBHELB   , 112.23228919514905     , 112.23304984281278     , 0.00    , 0.0                    , 0.0                    , 0.00    , 1500 , 1500 , 3
KOWOSB     , 0.00034700028730681916 , 0.00034700028730681916 , 0.00    , 0.0                    , 0.0                    , 0.00    , 2000 , 2000 , 3
KOWOSBNE   , 0.0                    , 0.0                    , 0.00    , 0.008084368386043324   , 0.008084368386043324   , 0.00    , 39   , 39   , 0
KSIP       , 0.5757979235507544     , 0.5757979235507544     , 0.00    , 1.3694114953111125e-08 , 1.3694114953111125e-08 , 0.00    , 750  , 750  , 0
LANCZOS1   , 0.0                    , 0.0                    , 0.00    , 2.6246195598822464e-09 , 2.6246195598822464e-09 , 0.00    , 507  , 507  , 0
LANCZOS1LS , 0.001438579472562677   , 0.001438579472562677   , 0.00    , 0.0                    , 0.0                    , 0.00    , 3000 , 3000 , 3
LANCZOS2   , 0.0                    , 0.0                    , 0.00    , 2.5616923711169193e-06 , 2.5616923711169193e-06 , 0.00    , 741  , 741  , 0
LANCZOS2LS , 0.0014781514972468002  , 0.0014781514972468002  , 0.00    , 0.0                    , 0.0                    , 0.00    , 3000 , 3000 , 3
LANCZOS3   , 0.0                    , 0.0                    , 0.00    , 3.8970466907151113e-05 , 3.8970466907151113e-05 , 0.00    , 3000 , 3000 , 3
LANCZOS3LS , 0.001474893581124513   , 0.001474893581124513   , 0.00    , 0.0                    , 0.0                    , 0.00    , 3000 , 3000 , 3
LEWISPOL   , 2.1740981202273453     , 2.1740981202273453     , 0.00    , 3.011805242536525e-05  , 3.011805242536525e-05  , 0.00    , 55   , 55   , 0
LIN        , -0.020175818254486055  , -0.020175818254486055  , -0.00   , 0.0                    , 0.0                    , 0.00    , 904  , 904  , 0
LOGHAIRY   , 6.007577226484713      , 6.007577226484713      , 0.00    , 0.0                    , 0.0                    , 0.00    , 1000 , 1000 , 3
LOGROS     , 0.0                    , 0.0                    , 0.00    , 0.0                    , 0.0                    , 0.00    , 34   , 34   , 0
LOOTSMA    , -8.9998777866624       , -8.9998777866624       , -0.00   , 1.000000000001         , 1.000000000001         , 0.00    , 89   , 89   , 0
LOTSCHD    , 2398.4158385317214     , 2398.4158385317214     , 0.00    , 8.881784197001252e-14  , 8.881784197001252e-14  , 0.00    , 54   , 54   , 0
LSC1       , 0.0                    , 0.0                    , 0.00    , 20.59128159377724      , 20.59128159377724      , 0.00    , 117  , 117  , 0
LSC1LS     , 1094.4645070508968     , 1094.4645070508968     , 0.00    , 0.0                    , 0.0                    , 0.00    , 1500 , 1500 , 3
LSC2       , 0.0                    , 0.0                    , 0.00    , 1.857929600868374      , 1.857929600868374      , 0.00    , 146  , 146  , 0
LSC2LS     , 16.023713142592644     , 16.023713142592644     , 0.00    , 0.0                    , 0.0                    , 0.00    , 1500 , 1500 , 3
LSNNODOC   , 123.11244879144516     , 123.11244879144516     , 0.00    , 3.5527136788005e-16    , 3.5527136788005e-16    , 0.00    , 33   , 33   , 0
LSQFIT     , 0.03378698787879743    , 0.03378698787879743    , 0.00    , 0.0                    , 0.0                    , 0.00    , 42   , 42   , 0
MADSEN     , 0.6164324350721612     , 0.6164324350721612     , 0.00    , 1.8759100939291784e-09 , 1.8759100939291784e-09 , 0.00    , 77   , 77   , 0
MAKELA1    , -1.4142135675748042    , -1.4142135675748042    , -0.00   , 7.500361887124996e-09  , 7.500361887124996e-09  , 0.00    , 89   , 89   , 0
MAKELA2    , 7.199999994045252      , 7.199999994045252      , 0.00    , 7.500004173266461e-09  , 7.500004173266461e-09  , 0.00    , 90   , 90   , 0
MARATOS    , -1.000000001792786     , -1.000000001792786     , -0.00   , 7.499750078721651e-09  , 7.499750078721651e-09  , 0.00    , 55   , 55   , 0
MARATOSB   , 1.0000001135252934     , 1.0000001135252934     , 0.00    , 0.0                    , 0.0                    , 0.00    , 46   , 46   , 0
MATRIX2    , 2.824534071388212e-13  , 2.824534071388212e-13  , 0.00    , 3.37038528586148e-13   , 3.37038528586148e-13   , 0.00    , 137  , 137  , 0
MAXLIKA    , 1149.311907396927      , 1149.311907396927      , 0.00    , 0.0                    , 0.0                    , 0.00    , 4000 , 4000 , 3
MCONCON    , -6230.795547690415     , -6230.795547690415     , -0.00   , 3.049235739382165e-09  , 3.049235739382165e-09  , 0.00    , 1937 , 1937 , 0
MDHOLE     , 5.78546146501778       , 5.78546146501778       , 0.00    , 0.0                    , 0.0                    , 0.00    , 1000 , 1000 , 3
MEXHAT     , 0.1676149182987266     , 0.1676149182987266     , 0.00    , 0.0                    , 0.0                    , 0.00    , 1000 , 1000 , 3
MEYER3     , 7081469.356952106      , 7081469.356952106      , 0.00    , 0.0                    , 0.0                    , 0.00    , 95   , 95   , 0
MEYER3NE   , 0.0                    , 0.0                    , 0.00    , 33.91330594086685      , 33.91330594086685      , 0.00    , 1500 , 1500 , 3
MGH09      , 0.0                    , 0.0                    , 0.00    , 0.01381740054783101    , 0.01381740054783101    , 0.00    , 2000 , 2000 , 3
MGH09LS    , 0.006827816057483676   , 0.006827816057483676   , 0.00    , 0.0                    , 0.0                    , 0.00    , 2000 , 2000 , 3
MGH10      , 0.0                    , 0.0                    , 0.00    , 15434.52601255495      , 15434.52601255495      , 0.00    , 1500 , 1500 , 3
MGH10LS    , 1366860257.1510346     , 1366860257.1510346     , 0.00    , 0.0                    , 0.0                    , 0.00    , 51   , 51   , 0
MGH10S     , 0.0                    , 0.0                    , 0.00    , 44.592726115468395     , 44.592726115468395     , 0.00    , 1500 , 1500 , 3
MGH17      , 0.0                    , 0.0                    , 0.00    , 0.26499999969053323    , 0.26499999969053323    , 0.00    , 54   , 54   , 0
MGH17LS    , 1.10603621877387       , 1.106036218821421      , 0.00    , 0.0                    , 0.0                    , 0.00    , 256  , 272  , 0
MGH17S     , 0.0                    , 0.0                    , 0.00    , 0.26499999911643746    , 0.26499999911643746    , 0.00    , 55   , 55   , 0
MIFFLIN1   , -1.000000000757027     , -1.000000000757027     , -0.00   , 1.8749380273534917e-09 , 1.8749380273534917e-09 , 0.00    , 76   , 76   , 0
MIFFLIN2   , -1.0000000007777747    , -1.0000000007777747    , -0.00   , 7.031732753291723e-09  , 7.031732753291723e-09  , 0.00    , 86   , 86   , 0
MINMAXBD   , 822.559                , 822.559                , 0.00    , 0.0                    , 0.0                    , 0.00    , 2500 , 2500 , 3
MINMAXRB   , 1.3877787807814457e-17 , 1.3877787807814457e-17 , 0.00    , 0.0                    , 0.0                    , 0.00    , 28   , 28   , 0
MISRA1A    , 0.0                    , 0.0                    , 0.00    , 0.12611092265660773    , 0.12611092265660773    , 0.00    , 91   , 91   , 0
MISRA1ALS  , 19.594518355352196     , 19.59761475637583      , 0.02    , 0.0                    , 0.0                    , 0.00    , 39   , 31   , 0
MISRA1B    , 0.0                    , 0.0                    , 0.00    , 0.09916875803321545    , 0.09916875803321545    , 0.00    , 101  , 101  , 0
MISRA1BLS  , 7.424831134022499      , 7.424831134022499      , 0.00    , 0.0                    , 0.0                    , 0.00    , 35   , 35   , 0
MISRA1C    , 0.0                    , 0.0                    , 0.00    , 0.07504991856126253    , 0.07504991856126253    , 0.00    , 97   , 97   , 0
MISRA1CLS  , 4.692559563212987      , 4.692559563212987      , 0.00    , 0.0                    , 0.0                    , 0.00    , 38   , 38   , 0
MISRA1D    , 0.0                    , 0.0                    , 0.00    , 0.0857960329662717     , 0.0857960329662717     , 0.00    , 96   , 96   , 0
MISTAKE    , -1.0000000026471214    , -1.0000000026471214    , -0.00   , 1.1817140488368238e-08 , 1.1817140488368238e-08 , 0.00    , 172  , 172  , 0
MOREBVNE   , 0.0                    , 0.0                    , 0.00    , 1.2981837047421567e-12 , 1.2981837047421567e-12 , 0.00    , 52   , 52   , 0
MWRIGHT    , 24.97880953861595      , 24.97880953861595      , 0.00    , 8.56517079483865e-11   , 8.56517079483865e-11   , 0.00    , 152  , 152  , 0
NELSON     , 0.0                    , 0.0                    , 0.00    , 0.5181181494376179     , 0.5181181494376179     , 0.00    , 1500 , 1500 , 3
NELSONLS   , 55.78451654625992      , 55.78451654625992      , 0.00    , 0.0                    , 0.0                    , 0.00    , 485  , 485  , 0
NYSTROM5   , 0.0                    , 0.0                    , 0.00    , 0.009115798666323283   , 0.009115798666323283   , 0.00    , 7500 , 7500 , 3
ODFITS     , -2326.5550699033583    , -2326.5550699033583    , -0.00   , 0.0                    , 0.0                    , 0.00    , 69   , 69   , 0
OET1       , 0.5382431193122431     , 0.5382431193122431     , 0.00    , 4.440892098500626e-16  , 4.440892098500626e-16  , 0.00    , 17   , 17   , 0
OET2       , 0.08715963585435173    , 0.08715963585435173    , 0.00    , 1.7763568394002505e-15 , 1.7763568394002505e-15 , 0.00    , 24   , 24   , 0
OET3       , 0.004505052872585095   , 0.004505052872585095   , 0.00    , 1.1102230246251565e-16 , 1.1102230246251565e-16 , 0.00    , 29   , 29   , 0
OET4       , 0.004295429673128485   , 0.004295429673128485   , 0.00    , 2.983613356377646e-11  , 2.983613356377646e-11  , 0.00    , 35   , 35   , 0
OET5       , 0.002650086531749752   , 0.002650086531749752   , 0.00    , 2.5552893134772603e-12 , 2.5552893134772603e-12 , 0.00    , 1338 , 1338 , 0
OET6       , 0.002069732885596081   , 0.002069732885596081   , 0.00    , 1.017661510616108e-08  , 1.017661510616108e-08  , 0.00    , 353  , 353  , 0
OET7       , 0.00028748986861539823 , 0.00028748986861539823 , 0.00    , 1.0456152610416325e-10 , 1.0456152610416325e-10 , 0.00    , 3500 , 3500 , 3
OSBORNE1   , 0.0                    , 0.0                    , 0.00    , 0.0027817898858990553  , 0.0027817898858990553  , 0.00    , 61   , 61   , 0
OSBORNE2   , 0.0                    , 0.0                    , 0.00    , 0.04802741461997104    , 0.04802741461997104    , 0.00    , 5500 , 5500 , 3
OSBORNEA   , 0.005033019604934856   , 0.005033019604934856   , 0.00    , 0.0                    , 0.0                    , 0.00    , 2500 , 2500 , 3
OSBORNEB   , 0.24818291862716213    , 0.24818291862716213    , 0.00    , 0.0                    , 0.0                    , 0.00    , 5500 , 5500 , 3
OSCIPANE   , 0.0                    , 0.0                    , 0.00    , 0.9996566894137592     , 0.9996566894137592     , 0.00    , 604  , 604  , 0
OSLBQP     , 6.250000000000002      , 6.250000000000002      , 0.00    , 1.1648144326692191e-21 , 1.1648144326692191e-21 , 0.00    , 113  , 113  , 0
PALMER1    , 18443.017565442216     , 18443.017565442216     , 0.00    , 0.0                    , 0.0                    , 0.00    , 2000 , 2000 , 3
PALMER1A   , 15600.394338629283     , 15600.394338629283     , 0.00    , 0.0                    , 0.0                    , 0.00    , 3000 , 3000 , 3
PALMER1B   , 20831.199562653826     , 20831.199562653826     , 0.00    , 0.0                    , 0.0                    , 0.00    , 2000 , 2000 , 3
PALMER1C   , 40203.26503158763      , 40203.26503158763      , 0.00    , 0.0                    , 0.0                    , 0.00    , 4000 , 4000 , 3
PALMER1D   , 39007.768412673526     , 39007.768412673526     , 0.00    , 0.0                    , 0.0                    , 0.00    , 3500 , 3500 , 3
PALMER1E   , 32006.1764699275       , 32006.1764699275       , 0.00    , 0.0                    , 0.0                    , 0.00    , 4000 , 4000 , 3
PALMER2    , 3736.4326483396276     , 3736.4326483396276     , 0.00    , 0.0                    , 0.0                    , 0.00    , 2000 , 2000 , 3
PALMER2A   , 216.55650767675104     , 216.55650767675104     , 0.00    , 0.0                    , 0.0                    , 0.00    , 3000 , 3000 , 3
PALMER2B   , 1097.5855717736188     , 1097.5855717736188     , 0.00    , 0.0                    , 0.0                    , 0.00    , 2000 , 2000 , 3
PALMER2C   , 1414.0819761003331     , 1414.0819761003331     , 0.00    , 0.0                    , 0.0                    , 0.00    , 4000 , 4000 , 3
PALMER2E   , 624.4537853833527      , 624.4537853833527      , 0.00    , 0.0                    , 0.0                    , 0.00    , 4000 , 4000 , 3
PALMER3    , 2416.980526876446      , 2416.980526876446      , 0.00    , 1.4216134175728932e-08 , 1.4216134175728932e-08 , 0.00    , 286  , 286  , 0
PALMER3A   , 60.66394582450659      , 60.66394582450659      , 0.00    , 0.0                    , 0.0                    , 0.00    , 3000 , 3000 , 3
PALMER3B   , 324.6120596974852      , 324.6120596974852      , 0.00    , 0.0                    , 0.0                    , 0.00    , 2000 , 2000 , 3
PALMER3C   , 288.33548019188027     , 288.33548019188027     , 0.00    , 0.0                    , 0.0                    , 0.00    , 4000 , 4000 , 3
PALMER3E   , 133.58010762749961     , 133.58010762749961     , 0.00    , 0.0                    , 0.0                    , 0.00    , 4000 , 4000 , 3
PALMER4    , 2424.0165667957262     , 2424.0165667957262     , 0.00    , 0.0                    , 0.0                    , 0.00    , 83   , 83   , 0
PALMER4A   , 69.94907244177588      , 69.94907244177588      , 0.00    , 0.0                    , 0.0                    , 0.00    , 3000 , 3000 , 3
PALMER4B   , 320.8542339362576      , 320.8542339362576      , 0.00    , 0.0                    , 0.0                    , 0.00    , 2000 , 2000 , 3
PALMER4C   , 275.345708419572       , 275.345708419572       , 0.00    , 0.0                    , 0.0                    , 0.00    , 4000 , 4000 , 3
PALMER4E   , 126.56418046055174     , 126.56418046055174     , 0.00    , 0.0                    , 0.0                    , 0.00    , 4000 , 4000 , 3
PALMER5A   , 7354.655360384113      , 7354.655360384113      , 0.00    , 0.0                    , 0.0                    , 0.00    , 4000 , 4000 , 3
PALMER5B   , 4984.588036742078      , 4984.588036742078      , 0.00    , 0.0                    , 0.0                    , 0.00    , 4500 , 4500 , 3
